iter	Passed	Remaining
400	12600	18822
401	12625	18781
402	12651	18742
403	12679	18705
404	12705	18666
405	12731	18627
406	12758	18589
407	12784	18549
408	12810	18511
409	12837	18472
410	12862	18432
411	12888	18393
412	12913	18354
413	12939	18315
414	12965	18276
415	12992	18239
416	13019	18202
417	13045	18163
418	13071	18125
419	13097	18086
420	13123	18048
421	13148	18009
422	13174	17970
423	13199	17931
424	13225	17893
425	13251	17854
426	13292	17837
427	13340	17828
428	13392	17825
429	13444	17821
430	13499	17821
431	13551	17817
432	13598	17807
433	13645	17796
434	13687	17778
435	13743	17778
436	13792	17769
437	13840	17759
438	13896	17758
439	13948	17753
440	13999	17745
441	14046	17733
442	14103	17733
443	14159	17731
444	14208	17720
445	14256	17708
446	14303	17695
447	14351	17683
448	14399	17670
449	14452	17664
450	14501	17652
451	14551	17642
452	14609	17640
453	14662	17633
454	14712	17622
455	14766	17616
456	14812	17599
457	14868	17595
458	14924	17590
459	14981	17586
460	15028	17571
461	15077	17557
462	15128	17546
463	15174	17528
464	15218	17508
465	15262	17489
466	15311	17474
467	15357	17457
468	15404	17441
469	15449	17421
470	15500	17409
471	15566	17413
472	15617	17400
473	15676	17396
474	15731	17387
475	15781	17372
476	15834	17361
477	15891	17354
478	15945	17343
479	15997	17330
480	16056	17325
481	16118	17322
482	16178	17317
483	16226	17299
484	16286	17294
485	16336	17277
486	16390	17265
487	16443	17252
488	16485	17226
489	16537	17212
490	16585	17193
491	16638	17179
492	16689	17163
493	16734	17140
494	16780	17119
495	16825	17096
496	16876	17080
497	16932	17068
498	16988	17056
499	17041	17041
500	17093	17025
501	17142	17005
502	17195	16990
503	17243	16969
504	17293	16951
505	17345	16933
506	17393	16913
507	17425	16876
508	17471	16853
509	17522	16834
510	17572	16816
511	17626	16800
512	17674	16778
513	17720	16755
514	17759	16725
515	17804	16699
516	17837	16664
517	17881	16639
518	17930	16617
519	17973	16591
520	18026	16573
521	18077	16553
522	18127	16533
523	18174	16509
524	18216	16481
525	18267	16461
526	18319	16442
527	18347	16401
528	18373	16359
529	18399	16316
530	18425	16273
531	18450	16231
532	18475	16188
533	18501	16145
534	18527	16103
535	18553	16061
536	18583	16022
537	18609	15980
538	18635	15938
539	18668	15902
540	18706	15871
541	18732	15829
542	18758	15787
543	18784	15745
544	18812	15705
545	18839	15665
546	18866	15624
547	18892	15582
548	18918	15541
549	18945	15500
550	18971	15459
551	18996	15417
552	19022	15375
553	19047	15334
554	19072	15292
555	19098	15250
556	19123	15209
557	19150	15169
558	19176	15128
559	19201	15087
560	19227	15045
561	19252	15004
562	19277	14963
563	19302	14921
564	19327	14880
565	19353	14839
566	19380	14800
567	19405	14759
568	19431	14718
569	19457	14678
570	19483	14638
571	19509	14597
572	19535	14557
573	19565	14520
574	19591	14480
575	19616	14440
576	19642	14399
577	19672	14362
578	19711	14332
579	19738	14293
580	19765	14254
581	19792	14215
582	19819	14176
583	19845	14136
584	19871	14096
585	19897	14056
586	19923	14017
587	19949	13977
588	19974	13938
589	20000	13898
590	20027	13860
591	20053	13820
592	20080	13782
593	20107	13743
594	20133	13704
595	20159	13664
596	20184	13625
597	20210	13586
598	20235	13546
599	20261	13507
600	20289	13470
601	20315	13431
602	20343	13393
