iter	RMSE
491	91.65637045
492	91.59964998
493	91.58107569
494	91.46058483
495	91.43171068
496	91.41336973
497	91.3454231
498	91.20488111
499	91.18659984
500	91.14353737
501	91.12539167
502	91.06111564
503	91.04312072
504	90.94606447
505	90.92819935
506	90.86360749
507	90.81457994
508	90.7867654
509	90.62058694
510	90.60281304
511	90.55175185
512	90.53408779
513	90.48365418
514	90.46610028
515	90.44465064
516	90.37994877
517	90.31813733
518	90.27751817
519	90.21940494
520	90.15569498
521	90.13839182
522	90.02490176
523	89.99792177
524	89.98072144
525	89.77167592
526	89.72043557
527	89.67217597
528	89.65357229
529	89.63534973
530	89.59769752
531	89.52514411
532	89.50826399
533	89.49044485
534	89.43475057
535	89.19433173
536	89.17753334
537	89.15740458
538	89.11005185
539	89.06777933
540	89.0227399
541	89.0062285
542	88.9732284
543	88.95173567
544	88.91382963
545	88.86415578
546	88.82638443
547	88.79609378
548	88.77970899
549	88.76341734
550	88.74720604
551	88.73115603
552	88.66170659
553	88.63393187
554	88.61797626
555	88.59258464
556	88.57673633
557	88.24644369
558	88.23062712
559	88.18210394
560	88.14331051
561	88.12761012
562	88.07328855
563	88.05766842
564	88.01251354
565	87.96425883
566	87.91957019
567	87.90415705
568	87.87220199
569	87.79421114
570	87.76989886
571	87.75456367
572	87.70653715
573	87.65129492
574	87.60568141
575	87.58091129
576	87.56564576
577	87.55046211
578	87.53531484
579	87.52035037
580	87.50159329
581	87.43706472
582	87.41591394
583	87.36246237
584	87.18517806
585	87.17008277
586	87.11799426
587	87.07118292
588	87.02345964
589	87.00859352
590	86.86247185
591	86.8193583
592	86.77874518
593	86.7388532
594	86.71910723
595	86.70438008
596	86.65986988
597	86.61455353
598	86.59472664
599	86.56181499
600	86.51514898
601	86.47846575
602	86.43234577
603	86.41776359
604	86.38595996
605	86.37147209
606	86.32157641
607	86.29229949
608	86.24891075
609	86.23449718
610	86.19174198
611	86.17737622
612	86.12886165
613	86.09245735
614	86.04505514
615	86.03080829
616	85.98782578
617	85.92908421
618	85.91491949
619	85.87253936
620	85.82706747
621	85.75494597
622	85.71688016
623	85.64715277
624	85.6330234
625	85.60268531
626	85.57261935
627	85.5585371
628	85.5445511
629	85.51652754
630	85.50262336
631	85.30833571
632	85.26856415
633	85.25452653
634	85.20729408
635	85.188509
636	85.14860267
637	85.11165067
638	85.04819534
639	85.01634386
640	84.97708376
641	84.96328283
642	84.93599258
643	84.91759455
644	84.90383377
645	84.890148
646	84.84005937
647	84.81761238
648	84.80404316
649	84.79056757
650	84.7590083
651	84.72669199
652	84.6906694
653	84.65698512
654	84.63216459
655	84.61400229
656	84.59300616
657	84.5573153
658	84.54393262
659	84.33362237
660	84.32025645
661	84.2778315
662	84.26459309
663	84.22650423
664	84.18266165
665	84.14425846
666	84.10662752
667	84.09347907
668	84.03991536
669	84.00195934
670	83.96404891
671	83.93412509
672	83.89102246
673	83.85401808
674	83.83743886
675	83.80164848
676	83.77975702
677	83.74504902
678	83.72899822
679	83.68754092
680	83.53937179
681	83.50976139
682	83.49663166
683	83.48363748
684	83.42073349
685	83.40779404
686	83.38924547
687	83.17878659
688	83.16587217
689	83.13003452
690	83.11172144
691	83.06836777
692	83.05295741
693	83.04023941
694	83.00278104
695	82.96209829
696	82.93283747
697	82.92019715
698	82.90762451
699	82.87102337
700	82.83564769
701	82.78341232
702	82.75139396
703	82.72449674
704	82.68892794
705	82.67639819
706	82.66397729
707	82.62351697
708	82.58775807
709	82.55388455
710	82.53892982
711	82.50421618
712	82.4771024
713	82.44247889
714	82.43016634
715	82.40572352
716	82.37180012
717	82.17578292
718	82.151731
719	82.13940757
720	82.11152718
721	82.07351797
722	82.02949642
723	82.01722191
724	81.99332777
725	81.84905688
726	81.81653312
727	81.80434367
728	81.79222687
729	81.76864729
730	81.73492031
731	81.70348418
732	81.68895581
733	81.67700841
734	81.64872929
735	81.63684938
736	81.62504175
737	81.60062864
738	81.55067982
739	81.51756713
740	81.50578534
741	81.47583666
742	81.44676757
743	81.28274144
744	81.27087762
745	81.23777397
746	81.20524173
747	81.10298391
748	81.09128556
749	81.06363973
750	81.03111502
751	81.01948714
752	81.00794582
753	80.97147307
754	80.95999078
755	80.92885447
756	80.89702621
757	80.85262369
758	80.82110339
759	80.79313165
760	80.78168125
761	80.74907305
762	80.69236869
763	80.66145492
764	80.65006848
765	80.61854741
766	80.60395397
767	80.58161319
768	80.57027865
769	80.54010418
770	80.52881944
771	80.51436525
772	80.49077591
773	80.45778284
774	80.44361277
775	80.41848228
776	80.38990171
777	80.37201311
778	80.34146903
779	80.31439283
780	80.30321056
781	80.28863636
782	80.25822539
783	80.183129
784	80.15787007
785	80.11947378
786	80.10832638
787	80.09446962
788	80.04745504
789	80.03639086
790	80.02538263
791	79.94361335
792	79.90799347
793	79.66794882
794	79.65678825
795	79.64317082
796	79.63220471
797	79.60689537
798	79.59618535
799	79.52336956
800	79.48119961
801	79.4707625
802	79.43767283
803	79.40766914
804	79.38645789
805	79.37564769
806	79.26708318
807	79.22822835
808	79.19864754
809	79.16936933
810	79.15858723
811	79.14788236
812	79.11088533
813	78.99798891
814	78.98732283
815	78.95684391
816	78.93847688
817	78.92788365
818	78.90206401
819	78.8915275
820	78.8810531
821	78.8031538
822	78.77434776
823	78.76389048
824	78.75347876
825	78.72470139
826	78.70481384
827	78.6761049
828	78.66574247
829	78.63663399
830	78.62630614
831	78.59823609
832	78.54826518
833	78.53798996
834	78.52776618
835	78.49914474
836	78.48898023
837	78.40988531
838	78.39121121
839	78.36925001
840	78.34006255
841	78.3051279
842	78.29496485
843	78.27067564
844	78.26054491
845	78.23893155
846	78.22087724
847	78.20632446
848	78.17405276
849	78.15040525
850	78.13766453
851	78.1134956
852	78.10343695
853	78.07297195
854	78.03940837
855	78.00718184
856	77.97929859
857	77.96924604
858	77.94211115
859	77.9153156
860	77.88555677
861	77.87557298
862	77.85504984
863	77.84510007
864	77.81792157
865	77.77835606
866	77.76844257
867	77.7565623
868	77.73720785
869	77.65807191
870	77.62522702
871	77.6135293
872	77.56566433
873	77.54263514
874	77.51608721
875	77.4336798
876	77.40484457
877	77.3949669
878	77.36894401
879	77.34348862
880	77.32791377
881	77.30002458
882	77.22076606
883	77.21092659
884	77.15557557
885	77.12911878
886	77.05248016
887	77.02108302
888	77.0111083
889	77.00123512
890	76.99145508
891	76.96935943
892	76.94107562
893	76.93134055
894	76.90154598
895	76.87554022
896	76.85208097
897	76.84081209
898	76.81271815
899	76.80162456
900	76.73045444
901	76.71237222
902	76.68549722
903	76.65948061
904	76.64971992
905	76.62392504
906	76.61424367
907	76.59256453
908	76.56667173
909	76.54492223
910	76.52818938
911	76.48640275
912	76.46255658
913	76.4409604
914	76.43135862
915	76.42179456
916	76.39781772
917	76.38827615
918	76.36074489
919	76.30454176
920	76.24552288
921	76.23601593
922	76.22229697
923	76.19467419
924	76.18523642
925	76.17031671
926	76.16092207
927	76.15023836
928	76.12509744
929	75.9375451
930	75.92817259
931	75.90043327
932	75.88182274
933	75.86080585
934	75.83702066
935	75.80740476
936	75.78180674
937	75.77246327
938	75.76316407
939	75.75392139
940	75.72798737
941	75.70864954
942	75.6832062
943	75.6740095
944	75.65398874
945	75.6314745
946	75.62231365
947	75.59610674
948	75.58697604
949	75.57786481
950	75.55442084
951	75.54002481
952	75.47647244
953	75.45537263
954	75.44628544
955	75.43723816
956	75.41315981
957	75.37552491
958	75.19872537
959	75.02721456
960	74.99466753
961	74.96951293
962	74.96039435
963	74.93542778
