Model,MAE,MSE,RMSE,R2
Linear Regression,5655.571233614016,60342298145.77985,245646.6937407867,-110745.81565160927
Random Forest,34.78895297507901,148235.46689565058,385.01359313100954,0.7279419838193391
Gradient Boosting,87.02806784268991,251512.0183410975,501.5097390291613,0.5383975091221526
XGBoost,44.31201815125412,261865.6422097275,511.7280940203767,0.5193954009966857
CatBoost,48.867703741562494,263260.0531768758,513.0887381115238,0.516836224779229
